generation_index,individual_index,cap_post_loading,cap_post_conveyor,cap_post_washing,cap_pre_press1,cap_pre_press2,cap_post_press12,wip,throughput
4,29,7,3,7,3,3,1,28.75515873015873,27.40714285714286
4,30,1,2,8,5,6,7,27.89325396825397,27.4
4,31,3,9,1,6,4,5,29.292460317460318,27.41785714285714
4,32,2,1,4,1,1,8,15.174404761904762,26.50595238095238
4,33,2,1,2,8,8,8,27.165079365079364,27.392857142857142
4,34,1,2,2,6,4,1,21.140079365079366,27.327380952380953
4,35,5,1,1,3,5,8,21.263690476190476,27.35238095238095
4,36,1,2,2,1,3,3,15.215674603174604,26.779761904761905
4,37,4,1,1,6,2,2,20.215079365079365,27.26547619047619
4,38,3,2,2,1,4,8,18.267857142857142,27.06547619047619
4,39,4,1,2,1,2,9,16.123214285714287,26.904761904761905
4,40,1,2,8,5,6,7,27.89325396825397,27.4
4,41,1,3,2,1,3,4,16.13452380952381,26.923809523809524
4,42,2,1,4,1,1,5,15.18015873015873,26.53095238095238
4,43,1,1,3,6,1,8,17.88154761904762,26.946428571428573
4,44,1,2,2,1,4,7,16.14404761904762,26.923809523809524
4,45,5,1,10,9,4,8,34.668055555555554,27.42142857142857
4,46,1,2,2,1,4,7,16.14404761904762,26.923809523809524
4,47,3,3,2,1,4,7,19.26746031746032,27.06547619047619
4,48,2,1,2,6,4,7,21.146626984126986,27.31547619047619
4,49,1,5,3,3,10,5,28.151785714285715,27.39761904761905
5,0,2,4,1,4,2,2,19.226785714285715,27.379761904761907
5,1,1,1,2,6,2,3,18.190873015873017,27.270238095238096
5,2,1,2,2,2,2,5,15.074801587301588,27.198809523809523
5,3,2,2,2,2,2,5,16.088293650793652,27.24404761904762
5,4,6,3,2,7,4,7,28.17718253968254,27.507142857142856
5,5,1,2,2,2,2,5,15.074801587301588,27.198809523809523
5,6,1,3,3,3,9,5,25.117261904761904,27.504761904761903
5,7,2,2,2,2,2,5,16.088293650793652,27.24404761904762
5,8,1,1,1,1,4,9,14.330357142857142,26.983333333333334
5,9,4,1,1,6,2,3,20.206150793650792,27.41190476190476
5,10,2,4,1,4,2,2,19.226785714285715,27.379761904761907
5,11,1,4,3,2,3,4,18.933531746031747,27.292857142857144
5,12,1,1,2,1,3,7,14.199603174603174,26.951190476190476
5,13,6,3,2,7,4,7,28.17718253968254,27.507142857142856
