generation,individual_index,post_loading_buffer_capacity,post_conveyor_buffer_capacity,post_washing_buffer_capacity,pre_press1_buffer_capacity,pre_press2_buffer_capacity,post_press12_buffer_capacity,throughput,energy consumption per part
4,11,7,4,6,4,4,8,27.429761904761904,0.45071483936645856
4,12,6,3,8,4,6,8,27.401190476190475,0.45042546607610084
4,13,10,2,8,4,5,1,27.436904761904763,0.45182990760352487
4,14,6,3,8,5,7,1,27.42142857142857,0.4507756864187453
4,15,1,9,1,4,3,6,27.425,0.4510362466029946
4,16,9,3,7,3,2,6,27.39761904761905,0.4504782225750444
4,17,1,1,6,4,4,8,27.43452380952381,0.4516967707087083
4,18,1,4,7,9,2,9,27.432142857142857,0.45175134693107977
4,19,2,6,6,4,4,8,27.436904761904763,0.45183399253144424
4,20,2,6,6,4,4,8,27.436904761904763,0.45183399253144424
4,21,2,6,1,4,4,6,27.358333333333334,0.4505317870797415
4,22,1,3,9,9,5,3,27.42142857142857,0.4507772444845395
4,23,5,3,6,4,6,6,27.436904761904763,0.45183399253144424
4,24,2,6,6,4,4,8,27.436904761904763,0.45183399253144424
4,25,4,1,7,4,4,5,27.422619047619047,0.4515638061758557
4,26,5,2,9,5,9,3,27.40714285714286,0.45113877930985424
4,27,5,2,7,4,4,3,27.422619047619047,0.4515639092941181
4,28,5,2,2,5,9,7,27.398809523809526,0.4508848970424685
4,29,5,2,2,5,9,7,27.398809523809526,0.4508848970424685
4,30,5,2,2,5,8,7,27.364285714285714,0.4508669899101074
4,31,4,2,2,5,9,7,27.364285714285714,0.4508669899101074
4,32,4,2,2,5,9,7,27.364285714285714,0.4508669899101074
4,33,6,6,9,3,10,5,27.33214285714286,0.4507614159675397
4,34,5,2,7,4,4,3,27.422619047619047,0.4515639092941181
4,35,5,1,6,9,6,6,27.40714285714286,0.45114275515774793
4,36,5,1,6,9,6,4,27.370238095238097,0.4510083939396288
4,37,4,1,7,3,4,5,27.392857142857142,0.4511121801962726
4,38,4,1,7,3,4,5,27.392857142857142,0.4511121801962726
4,39,5,1,6,9,6,6,27.40714285714286,0.45114275515774793
4,40,5,1,6,9,6,4,27.370238095238097,0.4510083939396288
4,41,5,2,2,9,8,7,27.40714285714286,0.45115648555068916
4,42,5,4,2,3,4,5,27.26309523809524,0.4510594404387156
4,43,9,3,7,3,2,5,27.33095238095238,0.45115501983789036
4,44,9,2,7,3,2,6,27.33095238095238,0.45115501983789036
4,45,5,2,2,9,8,7,27.40714285714286,0.45115648555068916
4,46,1,1,6,9,6,4,27.40357142857143,0.4518654299852112
4,47,3,1,2,9,3,5,27.396428571428572,0.45166398332169927
4,48,9,4,7,6,3,6,27.348809523809525,0.45116807776596035
4,49,6,3,6,4,6,8,27.379761904761907,0.45125701896306564
5,0,7,4,10,5,3,4,27.51547619047619,0.4506600303041229
5,1,10,2,8,3,2,1,27.446428571428573,0.45030408612910666
5,2,1,2,8,3,2,3,27.432142857142857,0.44977849706077655
5,3,9,3,1,4,6,2,27.475,0.45052774496498316
5,4,9,3,1,4,6,2,27.475,0.45052774496498316
5,5,1,2,8,3,2,3,27.432142857142857,0.44977849706077655
5,6,10,2,8,3,2,1,27.446428571428573,0.45030408612910666
5,7,7,4,10,5,3,4,27.51547619047619,0.4506600303041229
5,8,7,1,6,8,4,7,27.457142857142856,0.4506006759099803
5,9,5,3,6,9,6,6,27.420238095238094,0.4502015577245734
5,10,6,1,8,5,7,8,27.420238095238094,0.45022105431093606
5,11,7,1,7,6,4,8,27.457142857142856,0.45061503767385896
5,12,7,1,7,6,4,8,27.457142857142856,0.45061503767385896
5,13,3,1,2,2,6,4,27.414285714285715,0.45031958265735955
5,14,7,4,6,4,4,8,27.429761904761904,0.45071483936645856
5,15,2,1,6,4,4,8,27.45,0.45111750565894565
5,16,7,4,6,4,4,8,27.429761904761904,0.45071483936645856
5,17,2,1,6,4,4,8,27.45,0.45111750565894565
5,18,1,6,7,5,4,8,27.41904761904762,0.4503593229420705
5,19,6,3,8,4,6,8,27.401190476190475,0.45042546607610084
5,20,6,3,8,5,7,1,27.42142857142857,0.4507756864187453
5,21,1,9,1,4,3,6,27.425,0.4510362466029946
5,22,2,1,6,4,6,6,27.44642857142857,0.45117749972029947
5,23,10,2,8,4,5,1,27.436904761904763,0.45182990760352487
5,24,9,3,7,3,2,6,27.39761904761905,0.4504782225750444
5,25,1,1,6,4,4,8,27.43452380952381,0.4516967707087083
5,26,1,3,9,9,5,3,27.42142857142857,0.4507772444845395
5,27,4,1,7,4,4,5,27.422619047619047,0.4515638061758557
5,28,1,1,6,4,4,8,27.43452380952381,0.4516967707087083
5,29,5,6,6,8,4,8,27.442857142857143,0.4522045260141213
5,30,1,4,7,9,2,9,27.432142857142857,0.45175134693107977
5,31,2,6,6,4,4,8,27.436904761904763,0.45183399253144424
5,32,2,6,6,4,4,8,27.436904761904763,0.45183399253144424
5,33,2,6,1,4,4,6,27.358333333333334,0.4505317870797415
5,34,5,3,6,4,6,6,27.436904761904763,0.45183399253144424
5,35,2,6,6,4,4,8,27.436904761904763,0.45183399253144424
5,36,5,2,7,4,4,3,27.422619047619047,0.4515639092941181
5,37,5,2,2,5,9,7,27.398809523809526,0.4508848970424685
5,38,5,2,2,5,9,7,27.398809523809526,0.4508848970424685
5,39,5,2,2,5,8,7,27.364285714285714,0.4508669899101074
5,40,4,2,2,5,9,7,27.364285714285714,0.4508669899101074
5,41,4,2,2,5,9,7,27.364285714285714,0.4508669899101074
5,42,5,2,7,4,4,3,27.422619047619047,0.4515639092941181
5,43,5,1,5,4,4,6,27.420238095238094,0.45150506596942824
5,44,1,7,6,4,4,8,27.436904761904763,0.45183399253144424
5,45,1,3,9,9,5,6,27.40714285714286,0.4511383608628317
5,46,5,2,9,5,9,3,27.40714285714286,0.45113877930985424
5,47,6,6,9,3,10,5,27.33214285714286,0.4507614159675397
5,48,5,2,9,5,9,3,27.40714285714286,0.45113877930985424
5,49,5,1,6,9,6,4,27.370238095238097,0.4510083939396288
6,0,7,4,10,5,3,4,27.51547619047619,0.4506600303041229
6,1,10,2,8,3,2,1,27.446428571428573,0.45030408612910666
6,2,1,2,8,3,2,3,27.432142857142857,0.44977849706077655
6,3,9,3,1,4,6,2,27.475,0.45052774496498316
6,4,9,3,1,4,6,2,27.475,0.45052774496498316
6,5,1,2,8,3,2,3,27.432142857142857,0.44977849706077655
6,6,10,2,8,3,2,1,27.446428571428573,0.45030408612910666
6,7,7,4,10,5,3,4,27.51547619047619,0.4506600303041229
6,8,7,4,10,5,3,4,27.51547619047619,0.4506600303041229
6,9,1,2,8,3,2,3,27.432142857142857,0.44977849706077655
6,10,1,2,8,3,2,3,27.432142857142857,0.44977849706077655
6,11,9,1,8,6,3,8,27.395238095238096,0.4491771829501502
6,12,7,1,6,8,4,7,27.457142857142856,0.4506006759099803
6,13,5,3,6,9,6,6,27.420238095238094,0.4502015577245734
6,14,1,6,6,8,4,8,27.457142857142856,0.4506006759099803
6,15,6,1,8,5,7,8,27.420238095238094,0.45022105431093606
6,16,7,1,7,6,4,8,27.457142857142856,0.45061503767385896
6,17,7,1,7,6,4,8,27.457142857142856,0.45061503767385896
6,18,3,1,1,3,6,4,27.447619047619046,0.4506109899737713
6,19,3,1,2,2,6,4,27.414285714285715,0.45031958265735955
6,20,7,4,6,4,4,8,27.429761904761904,0.45071483936645856
6,21,2,1,6,4,4,8,27.45,0.45111750565894565
6,22,7,4,6,4,4,8,27.429761904761904,0.45071483936645856
6,23,2,1,6,4,4,8,27.45,0.45111750565894565
6,24,1,6,7,5,4,8,27.41904761904762,0.4503593229420705
6,25,7,1,7,5,4,7,27.41904761904762,0.4503593229420705
6,26,7,4,6,4,4,8,27.429761904761904,0.45071483936645856
6,27,1,9,1,4,3,6,27.425,0.4510362466029946
6,28,2,1,6,4,6,6,27.44642857142857,0.45117749972029947
6,29,7,1,10,5,4,4,27.41904761904762,0.4503608861770597
6,30,1,1,9,9,6,4,27.42142857142857,0.4507481049938135
6,31,2,1,6,4,6,6,27.44642857142857,0.45117749972029947
6,32,6,3,8,4,6,8,27.401190476190475,0.45042546607610084
6,33,6,3,8,5,7,1,27.42142857142857,0.4507756864187453
6,34,10,2,8,4,5,1,27.436904761904763,0.45182990760352487
6,35,1,1,6,4,4,8,27.43452380952381,0.4516967707087083
6,36,4,1,7,4,4,5,27.422619047619047,0.4515638061758557
6,37,1,1,6,4,4,8,27.43452380952381,0.4516967707087083
6,38,5,6,6,8,4,8,27.442857142857143,0.4522045260141213
6,39,9,3,7,3,2,6,27.39761904761905,0.4504782225750444
6,40,1,3,9,9,5,3,27.42142857142857,0.4507772444845395
6,41,1,4,7,9,2,9,27.432142857142857,0.45175134693107977
6,42,2,6,6,4,4,8,27.436904761904763,0.45183399253144424
6,43,2,6,6,4,4,8,27.436904761904763,0.45183399253144424
6,44,5,3,6,4,6,6,27.436904761904763,0.45183399253144424
6,45,2,6,6,4,4,8,27.436904761904763,0.45183399253144424
